"Time","emqx-0","emqx-1","emqx-2","Used Memory"
2023-06-27 15:25:00,2.29 GB,2.91 GB,2.66 GB,7.86 GB
2023-06-27 15:25:15,2.29 GB,2.92 GB,2.66 GB,7.87 GB
2023-06-27 15:25:30,2.28 GB,2.92 GB,2.66 GB,7.85 GB
2023-06-27 15:25:45,2.28 GB,2.92 GB,2.65 GB,7.85 GB
2023-06-27 15:26:00,2.29 GB,2.92 GB,2.65 GB,7.85 GB
2023-06-27 15:26:15,2.28 GB,2.93 GB,2.65 GB,7.86 GB
2023-06-27 15:26:30,2.28 GB,2.92 GB,2.66 GB,7.86 GB
2023-06-27 15:26:45,2.28 GB,2.92 GB,2.66 GB,7.85 GB
2023-06-27 15:27:00,2.28 GB,2.92 GB,2.65 GB,7.84 GB
2023-06-27 15:27:15,2.29 GB,2.91 GB,2.65 GB,7.85 GB
2023-06-27 15:27:30,2.28 GB,2.91 GB,2.66 GB,7.86 GB
2023-06-27 15:27:45,2.28 GB,2.91 GB,2.65 GB,7.84 GB
2023-06-27 15:28:00,2.28 GB,2.92 GB,2.65 GB,7.85 GB
2023-06-27 15:28:15,2.28 GB,2.91 GB,2.65 GB,7.84 GB
2023-06-27 15:28:30,2.28 GB,2.91 GB,2.66 GB,7.85 GB
2023-06-27 15:28:45,2.28 GB,2.92 GB,2.65 GB,7.85 GB
2023-06-27 15:29:00,2.28 GB,2.91 GB,2.66 GB,7.85 GB
2023-06-27 15:29:15,2.24 GB,2.83 GB,2.55 GB,7.61 GB
2023-06-27 15:29:30,2.13 GB,2.78 GB,2.54 GB,7.45 GB
2023-06-27 15:29:45,2.17 GB,2.82 GB,2.59 GB,7.58 GB
2023-06-27 15:30:00,2.18 GB,2.83 GB,2.59 GB,7.61 GB
2023-06-27 15:30:15,2.19 GB,2.84 GB,2.61 GB,7.64 GB
2023-06-27 15:30:30,2.20 GB,2.84 GB,2.61 GB,7.65 GB
2023-06-27 15:30:45,2.20 GB,2.85 GB,2.61 GB,7.66 GB
2023-06-27 15:31:00,2.22 GB,2.87 GB,2.61 GB,7.70 GB
2023-06-27 15:31:15,2.22 GB,2.89 GB,2.61 GB,7.72 GB
2023-06-27 15:31:30,2.24 GB,2.89 GB,2.62 GB,7.75 GB
2023-06-27 15:31:45,2.25 GB,2.90 GB,2.63 GB,7.78 GB
2023-06-27 15:32:00,2.26 GB,2.90 GB,2.62 GB,7.78 GB
2023-06-27 15:32:15,2.26 GB,2.90 GB,2.63 GB,7.79 GB
2023-06-27 15:32:30,2.26 GB,2.90 GB,2.62 GB,7.79 GB
2023-06-27 15:32:45,2.25 GB,2.90 GB,2.62 GB,7.77 GB
2023-06-27 15:33:00,2.26 GB,2.90 GB,2.63 GB,7.79 GB
2023-06-27 15:33:15,2.25 GB,2.89 GB,2.63 GB,7.77 GB
2023-06-27 15:33:30,2.25 GB,2.90 GB,2.63 GB,7.78 GB
2023-06-27 15:33:45,2.26 GB,2.90 GB,2.63 GB,7.79 GB
2023-06-27 15:34:00,2.25 GB,2.89 GB,2.63 GB,7.78 GB
2023-06-27 15:34:15,2.25 GB,2.90 GB,2.63 GB,7.78 GB
2023-06-27 15:34:30,2.25 GB,2.90 GB,2.64 GB,7.79 GB
2023-06-27 15:34:45,2.25 GB,2.90 GB,2.64 GB,7.78 GB
2023-06-27 15:35:00,2.25 GB,2.89 GB,2.64 GB,7.77 GB
2023-06-27 15:35:15,2.25 GB,2.90 GB,2.65 GB,7.79 GB
2023-06-27 15:35:30,2.25 GB,2.89 GB,2.64 GB,7.78 GB
2023-06-27 15:35:45,2.24 GB,2.90 GB,2.64 GB,7.78 GB
2023-06-27 15:36:00,2.25 GB,2.90 GB,2.65 GB,7.79 GB
2023-06-27 15:36:15,2.25 GB,2.89 GB,2.65 GB,7.78 GB
2023-06-27 15:36:30,2.25 GB,2.90 GB,2.64 GB,7.79 GB
2023-06-27 15:36:45,2.25 GB,2.89 GB,2.64 GB,7.79 GB
2023-06-27 15:37:00,2.25 GB,2.89 GB,2.65 GB,7.79 GB
2023-06-27 15:37:15,2.25 GB,2.89 GB,2.64 GB,7.78 GB
2023-06-27 15:37:30,2.25 GB,2.89 GB,2.64 GB,7.78 GB
2023-06-27 15:37:45,2.25 GB,2.90 GB,2.64 GB,7.79 GB
2023-06-27 15:38:00,2.25 GB,2.89 GB,2.64 GB,7.78 GB
2023-06-27 15:38:15,2.25 GB,2.89 GB,2.65 GB,7.78 GB

