"Time","total","emqx-0","emqx-1","emqx-2"
2023-06-27 15:21:00,75,28,31,16
2023-06-27 15:21:15,75,28,31,16
2023-06-27 15:21:30,75,28,31,16
2023-06-27 15:21:45,75,28,31,16
2023-06-27 15:22:00,75,28,31,16
2023-06-27 15:22:15,75,28,31,16
2023-06-27 15:22:30,75,28,31,16
2023-06-27 15:22:45,75,28,31,16
2023-06-27 15:23:00,75,28,31,16
2023-06-27 15:23:15,75,28,31,16
2023-06-27 15:23:30,75,28,31,16
2023-06-27 15:23:45,75,28,31,16
2023-06-27 15:24:00,75,28,31,16
2023-06-27 15:24:15,75,28,31,16
2023-06-27 15:24:30,75,28,31,16
2023-06-27 15:24:45,75,28,31,16
2023-06-27 15:25:00,75,28,31,16
2023-06-27 15:25:15,75,28,31,16
2023-06-27 15:25:30,75,28,31,16
2023-06-27 15:25:45,75,28,31,16
2023-06-27 15:26:00,75,28,31,16
2023-06-27 15:26:15,75,28,31,16
2023-06-27 15:26:30,75,28,31,16
2023-06-27 15:26:45,75,28,31,16
2023-06-27 15:27:00,75,28,31,16
2023-06-27 15:27:15,75,28,31,16
2023-06-27 15:27:30,75,28,31,16
2023-06-27 15:27:45,75,28,31,16
2023-06-27 15:28:00,75,28,31,16
2023-06-27 15:28:15,75,28,31,16
2023-06-27 15:28:30,75,28,31,16
2023-06-27 15:28:45,75,28,31,16
2023-06-27 15:29:00,75,28,31,16
2023-06-27 15:29:15,75,28,31,16
2023-06-27 15:29:30,75,28,31,16
2023-06-27 15:29:45,75,28,31,16
2023-06-27 15:30:00,75,28,31,16
2023-06-27 15:30:15,75,28,31,16
2023-06-27 15:30:30,75,28,31,16
2023-06-27 15:30:45,75,28,31,16
2023-06-27 15:31:00,75,28,31,16
2023-06-27 15:31:15,75,28,31,16
2023-06-27 15:31:30,75,28,31,16
2023-06-27 15:31:45,75,28,31,16
2023-06-27 15:32:00,75,28,31,16
2023-06-27 15:32:15,75,28,31,16
2023-06-27 15:32:30,75,28,31,16
2023-06-27 15:32:45,75,28,31,16
2023-06-27 15:33:00,75,28,31,16
2023-06-27 15:33:15,75,28,31,16
2023-06-27 15:33:30,75,28,31,16
2023-06-27 15:33:45,75,28,31,16
2023-06-27 15:34:00,75,28,31,16
2023-06-27 15:34:15,75,28,31,16
2023-06-27 15:34:30,75,28,31,16
2023-06-27 15:34:45,75,28,31,16
2023-06-27 15:35:00,75,28,31,16
2023-06-27 15:35:15,75,28,31,16
2023-06-27 15:35:30,75,28,31,16
2023-06-27 15:35:45,75,28,31,16
2023-06-27 15:36:00,75,28,31,16
2023-06-27 15:36:15,75,28,31,16
2023-06-27 15:36:30,75,28,31,16
2023-06-27 15:36:45,75,28,31,16
2023-06-27 15:37:00,75,28,31,16
2023-06-27 15:37:15,75,28,31,16
2023-06-27 15:37:30,75,28,31,16
2023-06-27 15:37:45,75,28,31,16
2023-06-27 15:38:00,75,28,31,16
2023-06-27 15:38:15,75,28,31,16

