"Time","emqx-0","Used Memory"
2023-06-26 11:52:00,3.22 GB,3.22 GB
2023-06-26 11:52:15,3.21 GB,3.21 GB
2023-06-26 11:52:30,3.21 GB,3.21 GB
2023-06-26 11:52:45,3.20 GB,3.20 GB
2023-06-26 11:53:00,3.20 GB,3.20 GB
2023-06-26 11:53:15,3.19 GB,3.19 GB
2023-06-26 11:53:30,3.19 GB,3.19 GB
2023-06-26 11:53:45,3.20 GB,3.20 GB
2023-06-26 11:54:00,3.19 GB,3.19 GB
2023-06-26 11:54:15,3.19 GB,3.19 GB
2023-06-26 11:54:30,3.19 GB,3.19 GB
2023-06-26 11:54:45,3.19 GB,3.19 GB
2023-06-26 11:55:00,3.18 GB,3.18 GB
2023-06-26 11:55:15,3.19 GB,3.19 GB
2023-06-26 11:55:30,3.17 GB,3.17 GB
2023-06-26 11:55:45,3.17 GB,3.17 GB
2023-06-26 11:56:00,3.17 GB,3.17 GB
2023-06-26 11:56:15,3.07 GB,3.07 GB
2023-06-26 11:56:30,3.10 GB,3.10 GB
2023-06-26 11:56:45,3.10 GB,3.10 GB
2023-06-26 11:57:00,3.12 GB,3.12 GB
2023-06-26 11:57:15,3.15 GB,3.15 GB
2023-06-26 11:57:30,3.15 GB,3.15 GB
2023-06-26 11:57:45,3.15 GB,3.15 GB
2023-06-26 11:58:00,3.15 GB,3.15 GB
2023-06-26 11:58:15,3.14 GB,3.14 GB
2023-06-26 11:58:30,3.15 GB,3.15 GB
2023-06-26 11:58:45,3.15 GB,3.15 GB
2023-06-26 11:59:00,3.15 GB,3.15 GB
2023-06-26 11:59:15,3.15 GB,3.15 GB
2023-06-26 11:59:30,3.15 GB,3.15 GB
2023-06-26 11:59:45,3.15 GB,3.15 GB
2023-06-26 12:00:00,3.15 GB,3.15 GB
2023-06-26 12:00:15,3.14 GB,3.14 GB
2023-06-26 12:00:30,3.12 GB,3.12 GB
2023-06-26 12:00:45,3.12 GB,3.12 GB
2023-06-26 12:01:00,3.12 GB,3.12 GB
2023-06-26 12:01:15,3.12 GB,3.12 GB
2023-06-26 12:01:30,3.11 GB,3.11 GB
2023-06-26 12:01:45,3.11 GB,3.11 GB
2023-06-26 12:02:00,3.11 GB,3.11 GB
2023-06-26 12:02:15,3.10 GB,3.10 GB
2023-06-26 12:02:30,3.10 GB,3.10 GB
2023-06-26 12:02:45,3.11 GB,3.11 GB
2023-06-26 12:03:00,3.11 GB,3.11 GB
2023-06-26 12:03:15,3.11 GB,3.11 GB
2023-06-26 12:03:30,3.11 GB,3.11 GB
2023-06-26 12:03:45,3.11 GB,3.11 GB
2023-06-26 12:04:00,3.11 GB,3.11 GB
2023-06-26 12:04:15,3.10 GB,3.10 GB
2023-06-26 12:04:30,3.10 GB,3.10 GB
2023-06-26 12:04:45,3.11 GB,3.11 GB
2023-06-26 12:05:00,3.11 GB,3.11 GB
2023-06-26 12:05:15,3.11 GB,3.11 GB
2023-06-26 12:05:30,3.10 GB,3.10 GB
2023-06-26 12:05:45,3.11 GB,3.11 GB
2023-06-26 12:06:00,3.11 GB,3.11 GB
2023-06-26 12:06:15,3.11 GB,3.11 GB
2023-06-26 12:06:30,3.11 GB,3.11 GB
2023-06-26 12:06:45,3.11 GB,3.11 GB
2023-06-26 12:07:00,3.11 GB,3.11 GB
2023-06-26 12:07:15,3.12 GB,3.12 GB
2023-06-26 12:07:30,3.11 GB,3.11 GB
2023-06-26 12:07:45,3.11 GB,3.11 GB
2023-06-26 12:08:00,3.11 GB,3.11 GB
2023-06-26 12:08:15,3.11 GB,3.11 GB
2023-06-26 12:08:30,3.11 GB,3.11 GB
2023-06-26 12:08:45,3.11 GB,3.11 GB
2023-06-26 12:09:00,3.11 GB,3.11 GB
2023-06-26 12:09:15,3.11 GB,3.11 GB
2023-06-26 12:09:30,3.12 GB,3.12 GB
2023-06-26 12:09:45,3.12 GB,3.12 GB
2023-06-26 12:10:00,3.11 GB,3.11 GB
2023-06-26 12:10:15,3.11 GB,3.11 GB
2023-06-26 12:10:30,3.11 GB,3.11 GB
2023-06-26 12:10:45,3.12 GB,3.12 GB
2023-06-26 12:11:00,3.12 GB,3.12 GB
2023-06-26 12:11:15,3.04 GB,3.04 GB
2023-06-26 12:11:30,2.92 GB,2.92 GB
2023-06-26 12:11:45,3.03 GB,3.03 GB
2023-06-26 12:12:00,3.05 GB,3.05 GB
2023-06-26 12:12:15,3.10 GB,3.10 GB
2023-06-26 12:12:30,3.12 GB,3.12 GB
2023-06-26 12:12:45,3.16 GB,3.16 GB
2023-06-26 12:13:00,3.16 GB,3.16 GB
2023-06-26 12:13:15,3.18 GB,3.18 GB
2023-06-26 12:13:30,3.19 GB,3.19 GB
2023-06-26 12:13:45,3.22 GB,3.22 GB
2023-06-26 12:14:00,3.22 GB,3.22 GB
2023-06-26 12:14:15,3.23 GB,3.23 GB
2023-06-26 12:14:30,3.23 GB,3.23 GB
2023-06-26 12:14:45,3.23 GB,3.23 GB
2023-06-26 12:15:00,3.23 GB,3.23 GB
2023-06-26 12:15:15,3.23 GB,3.23 GB
2023-06-26 12:15:30,3.23 GB,3.23 GB
2023-06-26 12:15:45,3.23 GB,3.23 GB
2023-06-26 12:16:00,3.24 GB,3.24 GB
2023-06-26 12:16:15,3.25 GB,3.25 GB
2023-06-26 12:16:30,3.25 GB,3.25 GB
2023-06-26 12:16:45,3.25 GB,3.25 GB
2023-06-26 12:17:00,3.25 GB,3.25 GB
2023-06-26 12:17:15,3.26 GB,3.26 GB
2023-06-26 12:17:30,3.26 GB,3.26 GB
2023-06-26 12:17:45,3.26 GB,3.26 GB
2023-06-26 12:18:00,3.26 GB,3.26 GB
2023-06-26 12:18:15,3.26 GB,3.26 GB
2023-06-26 12:18:30,3.26 GB,3.26 GB
2023-06-26 12:18:45,3.26 GB,3.26 GB

