"Time","emqx-0","emqx-1","emqx-3","emqx-2","Used Memory"
2023-06-26 18:55:15,2.03 GB,2.65 GB,2.51 GB,2.45 GB,9.63 GB
2023-06-26 18:55:30,2.03 GB,2.65 GB,2.51 GB,2.45 GB,9.64 GB
2023-06-26 18:55:45,2.03 GB,2.65 GB,2.51 GB,2.45 GB,9.64 GB
2023-06-26 18:56:00,2.03 GB,2.66 GB,2.49 GB,2.46 GB,9.64 GB
2023-06-26 18:56:15,2.03 GB,2.65 GB,2.50 GB,2.45 GB,9.63 GB
2023-06-26 18:56:30,2.03 GB,2.65 GB,2.50 GB,2.45 GB,9.64 GB
2023-06-26 18:56:45,2.03 GB,2.64 GB,2.50 GB,2.45 GB,9.63 GB
2023-06-26 18:57:00,2.03 GB,2.65 GB,2.50 GB,2.45 GB,9.63 GB
2023-06-26 18:57:15,2.03 GB,2.65 GB,2.50 GB,2.45 GB,9.63 GB
2023-06-26 18:57:30,2.03 GB,2.65 GB,2.50 GB,2.45 GB,9.63 GB
2023-06-26 18:57:45,2.03 GB,2.61 GB,2.50 GB,2.42 GB,9.56 GB
2023-06-26 18:58:00,1.96 GB,2.58 GB,2.43 GB,2.38 GB,9.36 GB
2023-06-26 18:58:15,1.98 GB,2.60 GB,2.44 GB,2.40 GB,9.43 GB
2023-06-26 18:58:30,1.98 GB,2.61 GB,2.46 GB,2.40 GB,9.45 GB
2023-06-26 18:58:45,1.99 GB,2.62 GB,2.45 GB,2.41 GB,9.47 GB
2023-06-26 18:59:00,1.99 GB,2.62 GB,2.47 GB,2.41 GB,9.49 GB
2023-06-26 18:59:15,1.99 GB,2.62 GB,2.47 GB,2.41 GB,9.49 GB
2023-06-26 18:59:30,1.99 GB,2.63 GB,2.46 GB,2.41 GB,9.50 GB
2023-06-26 18:59:45,2.00 GB,2.63 GB,2.46 GB,2.41 GB,9.50 GB
2023-06-26 19:00:00,2.00 GB,2.64 GB,2.47 GB,2.41 GB,9.51 GB
2023-06-26 19:00:15,2.00 GB,2.65 GB,2.47 GB,2.42 GB,9.54 GB
2023-06-26 19:00:30,2.00 GB,2.65 GB,2.48 GB,2.41 GB,9.54 GB
2023-06-26 19:00:45,2.00 GB,2.65 GB,2.48 GB,2.41 GB,9.53 GB
2023-06-26 19:01:00,2.00 GB,2.65 GB,2.48 GB,2.41 GB,9.54 GB
2023-06-26 19:01:15,2.00 GB,2.64 GB,2.48 GB,2.42 GB,9.54 GB
2023-06-26 19:01:30,1.99 GB,2.65 GB,2.49 GB,2.41 GB,9.54 GB
2023-06-26 19:01:45,2.00 GB,2.65 GB,2.48 GB,2.41 GB,9.55 GB
2023-06-26 19:02:00,1.99 GB,2.65 GB,2.49 GB,2.41 GB,9.55 GB
2023-06-26 19:02:15,1.99 GB,2.65 GB,2.48 GB,2.41 GB,9.53 GB
2023-06-26 19:02:30,2.00 GB,2.66 GB,2.48 GB,2.41 GB,9.54 GB
2023-06-26 19:02:45,2.00 GB,2.65 GB,2.49 GB,2.41 GB,9.55 GB
2023-06-26 19:03:00,2.00 GB,2.66 GB,2.48 GB,2.42 GB,9.56 GB

