"Time","emqx-0","emqx-1","emqx-3","emqx-2","Total"
2023-06-26 19:01:00,2027334,825016,2611351,2610000,8073701
2023-06-26 19:01:15,2028650,827683,2612683,2610000,8079016
2023-06-26 19:01:30,2029982,829016,2615351,2610000,8084349
2023-06-26 19:01:45,2030000,831683,2616683,2610000,8088366
2023-06-26 19:02:00,2030000,833016,2619196,2610000,8092212
2023-06-26 19:02:15,2030000,835683,2619855,2610000,8095538
2023-06-26 19:02:30,2030000,837016,2620000,2610000,8097016
2023-06-26 19:02:45,2030000,839410,2620000,2610000,8099410
2023-06-26 19:03:00,2030000,839936,2620000,2610000,8099936

