"Time","emqx-0","emqx-1","emqx-3","emqx-2"
2023-06-27 13:50:45,3844,3851,3928,3885
2023-06-27 13:51:00,3846,3852,3929,3888
2023-06-27 13:51:15,3846,3852,3929,3888
2023-06-27 13:51:30,3846,3852,3929,3888
2023-06-27 13:51:45,3847,3853,3931,3890
2023-06-27 13:52:00,3848,3853,3932,3892
2023-06-27 13:52:15,3848,3853,3932,3892
2023-06-27 13:52:30,3848,3853,3932,3892
2023-06-27 13:52:45,3848,3853,3932,3892
2023-06-27 13:53:00,3848,3853,3932,3892
2023-06-27 13:53:15,3848,3853,3932,3892
2023-06-27 13:53:30,3848,3853,3932,3892
2023-06-27 13:53:45,3848,3853,3932,3892
2023-06-27 13:54:00,3848,3853,3932,3892
2023-06-27 13:54:15,3848,3853,3932,3892
2023-06-27 13:54:30,3848,3853,3932,3892
2023-06-27 13:54:45,3848,3853,3932,3892
2023-06-27 13:55:00,3848,3853,3932,3892
2023-06-27 13:55:15,3848,3853,3932,3892
2023-06-27 13:55:30,3848,3853,3932,3892
2023-06-27 13:55:45,3848,3853,3932,3892
2023-06-27 13:56:00,3848,3853,3932,3892
2023-06-27 13:56:15,3848,3853,3932,3892
2023-06-27 13:56:30,3848,3853,3932,3892
2023-06-27 13:56:45,3848,3853,3932,3892
2023-06-27 13:57:00,3848,3853,3932,3892
2023-06-27 13:57:15,3848,3853,3932,3892
2023-06-27 13:57:30,3848,3853,3932,3892
2023-06-27 13:57:45,3848,3853,3932,3892
2023-06-27 13:58:00,3848,3853,3932,3892
2023-06-27 13:58:15,3848,3853,3932,3892
2023-06-27 13:58:30,3848,3853,3932,3892
2023-06-27 13:58:45,3848,3853,3932,3892
2023-06-27 13:59:00,3848,3853,3932,3892
2023-06-27 13:59:15,3848,3853,3932,3892
2023-06-27 13:59:30,3848,3853,3932,3892
2023-06-27 13:59:45,3848,3853,3932,3892
2023-06-27 14:00:00,3848,3853,3932,3892
2023-06-27 14:00:15,3848,3853,3932,3892
2023-06-27 14:00:30,3848,3853,3932,3892
2023-06-27 14:00:45,3848,3853,3932,3892
2023-06-27 14:01:00,3848,3853,3932,3892
2023-06-27 14:01:15,3848,3853,3932,3892
2023-06-27 14:01:30,3848,3853,3932,3892
2023-06-27 14:01:45,3848,3853,3932,3892
2023-06-27 14:02:00,3848,3853,3932,3892
2023-06-27 14:02:15,3848,3853,3932,3892
2023-06-27 14:02:30,3848,3853,3932,3892
2023-06-27 14:02:45,3848,3853,3932,3892
2023-06-27 14:03:00,3848,3853,3932,3892
2023-06-27 14:03:15,3848,3853,3932,3892
2023-06-27 14:03:30,3848,3853,3932,3892
2023-06-27 14:03:45,3848,3853,3932,3892
2023-06-27 14:04:00,3848,3853,3932,3892
2023-06-27 14:04:15,3848,3853,3932,3892
2023-06-27 14:04:30,3848,3853,3932,3892
2023-06-27 14:04:45,3848,3853,3932,3892
2023-06-27 14:05:00,3848,3853,3932,3892
2023-06-27 14:05:15,3848,3853,3932,3892
2023-06-27 14:05:30,3848,3853,3932,3892
2023-06-27 14:05:45,3848,3853,3932,3892
2023-06-27 14:06:00,3848,3853,3932,3892
2023-06-27 14:06:15,3848,3853,3932,3892
2023-06-27 14:06:30,3848,3853,3932,3892
2023-06-27 14:06:45,3848,3853,3932,3892
2023-06-27 14:07:00,3848,3853,3932,3892
2023-06-27 14:07:15,3848,3853,3932,3892
2023-06-27 14:07:30,3848,3853,3932,3892
2023-06-27 14:07:45,3848,3853,3932,3892
2023-06-27 14:08:00,3848,3853,3932,3892
2023-06-27 14:08:15,3848,3853,3932,3892
2023-06-27 14:08:30,3848,3853,3932,3892
2023-06-27 14:08:45,3848,3853,3932,3892
2023-06-27 14:09:00,3848,3853,3932,3892
2023-06-27 14:09:15,3848,3853,3932,3892
2023-06-27 14:09:30,3848,3853,3932,3892
2023-06-27 14:09:45,3848,3853,3932,3892
2023-06-27 14:10:00,3848,3853,3932,3892
2023-06-27 14:10:15,3848,3853,3932,3892
2023-06-27 14:10:30,3848,3853,3932,3892
