"Time","emqx-3","emqx-0","emqx-2","emqx-1","Used Memory"
2023-07-15 16:48:30,3.33 GB,3.48 GB,3.50 GB,3.48 GB,13.8 GB
2023-07-15 16:48:45,3.33 GB,3.37 GB,3.50 GB,3.48 GB,13.7 GB
2023-07-15 16:49:00,3.12 GB,3.29 GB,3.28 GB,3.26 GB,12.9 GB
2023-07-15 16:49:15,3.15 GB,3.34 GB,3.31 GB,3.30 GB,13.1 GB
2023-07-15 16:49:30,3.18 GB,3.37 GB,3.35 GB,3.34 GB,13.2 GB
2023-07-15 16:49:45,3.19 GB,3.38 GB,3.36 GB,3.36 GB,13.3 GB
2023-07-15 16:50:00,3.21 GB,3.40 GB,3.38 GB,3.39 GB,13.4 GB
2023-07-15 16:50:15,3.21 GB,3.40 GB,3.39 GB,3.39 GB,13.4 GB
2023-07-15 16:50:30,3.22 GB,3.41 GB,3.39 GB,3.40 GB,13.4 GB

