"Time","emqx-3","emqx-0","emqx-2","emqx-1"
2023-07-15 16:45:30,6493,6481,6428,6474
2023-07-15 16:45:45,6493,6481,6428,6474
2023-07-15 16:46:00,6493,6481,6428,6474
2023-07-15 16:46:15,6493,6481,6428,6474
2023-07-15 16:46:30,6493,6481,6428,6474
2023-07-15 16:46:45,6493,6481,6428,6474
2023-07-15 16:47:00,6493,6481,6428,6474
2023-07-15 16:47:15,6493,6481,6428,6474
2023-07-15 16:47:30,6493,6481,6428,6474
2023-07-15 16:47:45,6493,6481,6428,6474
2023-07-15 16:48:00,6493,6481,6428,6474
2023-07-15 16:48:15,6493,6481,6428,6474
2023-07-15 16:48:30,6493,6481,6428,6474
2023-07-15 16:48:45,6493,6481,6428,6474
2023-07-15 16:49:00,6493,6481,6428,6474
2023-07-15 16:49:15,6493,6481,6428,6474
2023-07-15 16:49:30,6493,6481,6428,6474
2023-07-15 16:49:45,6493,6481,6428,6474
2023-07-15 16:50:00,6493,6481,6428,6474
2023-07-15 16:50:15,6493,6481,6428,6474
2023-07-15 16:50:30,6493,6481,6428,6474

