"Time","emqx-1","emqx-2","emqx-0"
2023-06-22 18:07:15,12269159,12004274,9673005
2023-06-22 18:07:30,12275212,12011828,9685004
2023-06-22 18:07:45,12286131,12024733,9689849
2023-06-22 18:08:00,12291939,12031444,9701308
2023-06-22 18:08:15,12302226,12042043,9705961
2023-06-22 18:08:30,12307536,12047154,9716695
2023-06-22 18:08:45,12317315,12056073,9721101
2023-06-22 18:09:00,12322398,12060041,9731388
2023-06-22 18:09:15,12331333,12065901,9735379
2023-06-22 18:09:30,12336170,12069218,9745045
2023-06-22 18:09:45,12344537,12074498,9748191
2023-06-22 18:10:00,12348933,12077443,9754670
2023-06-22 18:10:15,12356595,12082339,9756852
2023-06-22 18:10:30,12359963,12085050,9762620

