"Time","emqx-1","emqx-0","emqx-2","Used Memory"
2023-06-26 16:40:00,2.14 GB,2.72 GB,2.56 GB,7.42 GB
2023-06-26 16:40:15,2.13 GB,2.72 GB,2.56 GB,7.42 GB
2023-06-26 16:40:30,2.14 GB,2.72 GB,2.56 GB,7.41 GB
2023-06-26 16:40:45,2.13 GB,2.71 GB,2.55 GB,7.40 GB
2023-06-26 16:41:00,2.05 GB,2.62 GB,2.47 GB,7.14 GB
2023-06-26 16:41:15,2.02 GB,2.62 GB,2.47 GB,7.11 GB
2023-06-26 16:41:30,2.04 GB,2.65 GB,2.51 GB,7.20 GB
2023-06-26 16:41:45,2.04 GB,2.66 GB,2.51 GB,7.21 GB
2023-06-26 16:42:00,2.04 GB,2.67 GB,2.52 GB,7.23 GB
2023-06-26 16:42:15,2.05 GB,2.68 GB,2.53 GB,7.25 GB
2023-06-26 16:42:30,2.05 GB,2.68 GB,2.54 GB,7.28 GB
2023-06-26 16:42:45,2.05 GB,2.69 GB,2.55 GB,7.30 GB
2023-06-26 16:43:00,2.05 GB,2.70 GB,2.56 GB,7.32 GB
2023-06-26 16:43:15,2.06 GB,2.70 GB,2.57 GB,7.33 GB
2023-06-26 16:43:30,2.07 GB,2.71 GB,2.59 GB,7.37 GB
2023-06-26 16:43:45,2.06 GB,2.72 GB,2.60 GB,7.38 GB
2023-06-26 16:44:00,2.06 GB,2.71 GB,2.59 GB,7.37 GB
2023-06-26 16:44:15,2.06 GB,2.72 GB,2.60 GB,7.38 GB
2023-06-26 16:44:30,2.06 GB,2.72 GB,2.60 GB,7.38 GB
2023-06-26 16:44:45,2.06 GB,2.73 GB,2.60 GB,7.38 GB
2023-06-26 16:45:00,2.06 GB,2.72 GB,2.60 GB,7.38 GB
2023-06-26 16:45:15,2.06 GB,2.73 GB,2.60 GB,7.38 GB
2023-06-26 16:45:30,2.06 GB,2.73 GB,2.60 GB,7.38 GB
2023-06-26 16:45:45,2.06 GB,2.73 GB,2.60 GB,7.38 GB
2023-06-26 16:46:00,2.06 GB,2.73 GB,2.59 GB,7.39 GB
2023-06-26 16:46:15,2.07 GB,2.73 GB,2.60 GB,7.40 GB
2023-06-26 16:46:30,2.07 GB,2.73 GB,2.60 GB,7.40 GB
2023-06-26 16:46:45,2.07 GB,2.74 GB,2.60 GB,7.40 GB
2023-06-26 16:47:00,2.07 GB,2.73 GB,2.60 GB,7.40 GB

