"Time","emqx-0","emqx-1","Used Memory"
2023-07-15 18:59:00,3.04 GB,3.70 GB,6.74 GB
2023-07-15 18:59:15,3.05 GB,3.70 GB,6.75 GB
2023-07-15 18:59:30,3.06 GB,3.70 GB,6.76 GB
2023-07-15 18:59:45,3.04 GB,3.70 GB,6.74 GB
2023-07-15 19:00:00,3.05 GB,3.70 GB,6.75 GB
2023-07-15 19:00:15,3.05 GB,3.69 GB,6.74 GB
2023-07-15 19:00:30,3.05 GB,3.70 GB,6.75 GB
2023-07-15 19:00:45,3.06 GB,3.69 GB,6.75 GB
2023-07-15 19:01:00,3.04 GB,3.70 GB,6.74 GB
2023-07-15 19:01:15,3.05 GB,3.70 GB,6.75 GB
2023-07-15 19:01:30,3.04 GB,3.70 GB,6.74 GB
2023-07-15 19:01:45,3.06 GB,3.70 GB,6.75 GB
2023-07-15 19:02:00,3.06 GB,3.70 GB,6.76 GB
2023-07-15 19:02:15,3.04 GB,3.68 GB,6.72 GB
2023-07-15 19:02:30,3.06 GB,3.70 GB,6.76 GB
2023-07-15 19:02:45,3.05 GB,3.69 GB,6.74 GB
2023-07-15 19:03:00,3.04 GB,3.69 GB,6.73 GB
2023-07-15 19:03:15,3.06 GB,3.69 GB,6.75 GB
2023-07-15 19:03:30,3.04 GB,3.70 GB,6.75 GB
2023-07-15 19:03:45,3.04 GB,3.69 GB,6.73 GB
2023-07-15 19:04:00,3.04 GB,3.70 GB,6.74 GB
2023-07-15 19:04:15,3.05 GB,3.70 GB,6.76 GB
2023-07-15 19:04:30,3.05 GB,3.70 GB,6.74 GB
2023-07-15 19:04:45,3.03 GB,3.68 GB,6.71 GB
2023-07-15 19:05:00,3.05 GB,3.68 GB,6.74 GB
2023-07-15 19:05:15,3.04 GB,3.70 GB,6.74 GB
2023-07-15 19:05:30,3.05 GB,3.70 GB,6.75 GB
2023-07-15 19:05:45,3.06 GB,3.69 GB,6.75 GB
2023-07-15 19:06:00,3.05 GB,3.70 GB,6.76 GB
2023-07-15 19:06:15,2.90 GB,3.44 GB,6.34 GB
2023-07-15 19:06:30,2.73 GB,3.31 GB,6.03 GB

